fasalSetuProductId,productCropName,productCategory,productSubCategories
3016-734428-7759,"['Red', 'Gram', '', 'Gram', 'Sugarcane']",['6096a7f2ccf48a66a99a3625'],['6096a7f7ccf48a66a99a43ad']
3016-734428-7759,['Crops'],['6096a7f2ccf48a66a99a3625'],['6096a7f7ccf48a66a99a44b5']
3016-734428-7759,"['Paddy', '', 'Okra', 'Cucumber']",['6096a7f2ccf48a66a99a3625'],['6096a7f7ccf48a66a99a43ad']
3016-734428-7759,"['Paddy', '', 'Okra', 'Cucumber']",['6096a7f2ccf48a66a99a3625'],['6096a7f7ccf48a66a99a43ad']
3016-734428-7759,['Crops'],['6096a7f2ccf48a66a99a3625'],['6096a7f7ccf48a66a99a43ad']
3016-734428-7759,"['', 'Okra', 'Paddy', 'Cucumber']",['6096a7f2ccf48a66a99a3625'],['6096a7f7ccf48a66a99a43ad']
3016-734428-7759,"['', '', 'Paddy', 'Wheat', '', 'Soyabean', '', 'Sugarcane', 'Mustard', 'Groundnut']",['6096a7f2ccf48a66a99a3625'],['6096a7f7ccf48a66a99a43ad']
3016-734428-7759,"['Paddy', 'Okra', '', 'Cucumber']",['6096a7f2ccf48a66a99a3625'],['6096a7f7ccf48a66a99a43ad']
3016-734428-7759,"['Paddy', '', 'Okra', 'Cucumber']",['6096a7f2ccf48a66a99a3625'],['6096a7f7ccf48a66a99a43ad']
3016-734428-7759,"['', 'Wheat', '', '', 'Soyabean', 'Arhar', 'Cotton', 'Groundnut']",['6096a7f2ccf48a66a99a3625'],['6096a7f7ccf48a66a99a43cc']
3016-734428-7759,"['', '', 'Wheat', '', 'Soyabean', 'Groundnut', 'Cotton', 'Arhar']",['6096a7f2ccf48a66a99a3625'],['6096a7f7ccf48a66a99a43cc']
3016-734428-7759,"['Paddy', '', '', 'Maize', '', 'Soyaben', 'Wheat', 'Crops', 'Vegetable']",['6096a7f2ccf48a66a99a3625'],['6096a7f7ccf48a66a99a43ad']
3016-734428-7759,"['', 'Paddy', 'Maize', 'Soyaben', '', '', 'Crops', 'Wheat', 'Vegetable']",['6096a7f2ccf48a66a99a3625'],['6096a7f7ccf48a66a99a43ad']
3016-734428-7759,"['', '', 'Paddy', 'Maize', 'Wheat', 'Soyaben', '', 'Crops', 'Vegetable']",['6096a7f2ccf48a66a99a3625'],['6096a7f7ccf48a66a99a43ad']
3016-734428-7759,"['Paddy', '', '', '', 'Soyaben', 'Maize', 'Wheat', 'Crops', 'Vegetable']",['6096a7f2ccf48a66a99a3625'],['6096a7f7ccf48a66a99a43ad']
3016-734428-7759,['Crops'],['6096a7f2ccf48a66a99a3617'],['6096a7f7ccf48a66a99a439b']
